               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.093343,            0.059644,           0.0064796,             0.88645,             0.96229,             0.98019,             0.64918,            0.084445,            0.060735,           0.0058248,           0.0082675,           0.0082675,           0.0082675
                  37,            0.090972,            0.059212,           0.0072642,             0.69785,             0.98148,             0.89342,             0.58863,            0.084478,             0.06102,           0.0061136,            0.008218,            0.008218,            0.008218
                  38,            0.091635,            0.056673,           0.0069815,             0.74443,              0.9994,             0.91744,             0.64292,            0.084011,            0.060056,            0.006355,           0.0081685,           0.0081685,           0.0081685
                  39,            0.090807,            0.057385,           0.0065098,             0.83715,             0.93444,             0.92826,             0.55929,            0.086866,            0.058158,           0.0057377,            0.008119,            0.008119,            0.008119
                  40,            0.092284,            0.057765,           0.0070181,             0.75926,             0.98148,             0.90611,             0.60794,            0.085322,            0.059416,           0.0070187,           0.0080695,           0.0080695,           0.0080695
                  41,             0.09115,            0.059763,           0.0061744,             0.84209,             0.90052,              0.9242,              0.5714,            0.083061,            0.060445,           0.0054652,             0.00802,             0.00802,             0.00802
                  42,            0.087353,            0.060108,           0.0063231,             0.99852,             0.92009,             0.98583,             0.75633,            0.081681,            0.060438,           0.0050463,           0.0079705,           0.0079705,           0.0079705
                  43,            0.088989,            0.060673,           0.0063067,             0.84863,             0.97809,             0.93234,             0.64843,            0.082478,            0.058104,           0.0046868,            0.007921,            0.007921,            0.007921
                  44,            0.088212,            0.058334,           0.0064537,             0.84602,             0.93178,             0.93004,             0.61332,            0.081357,            0.059351,           0.0049159,           0.0078715,           0.0078715,           0.0078715
                  45,            0.086751,            0.058081,           0.0062841,             0.88878,              0.8521,             0.93005,             0.66825,            0.080819,            0.058423,           0.0054003,            0.007822,            0.007822,            0.007822
                  46,            0.088147,            0.061642,           0.0068566,             0.70464,             0.95873,             0.92844,             0.67145,            0.082465,            0.058239,           0.0056372,           0.0077725,           0.0077725,           0.0077725
                  47,            0.088426,            0.060174,           0.0065334,             0.76798,             0.97078,             0.91033,               0.571,            0.082849,            0.059903,           0.0045223,            0.007723,            0.007723,            0.007723
                  48,             0.08913,            0.062723,           0.0061932,             0.96167,             0.98955,               0.995,             0.72452,            0.079829,            0.060594,           0.0044852,           0.0076735,           0.0076735,           0.0076735
                  49,            0.085424,             0.06263,           0.0062373,             0.77729,             0.96296,             0.92372,             0.63398,            0.082151,            0.058867,           0.0053367,            0.007624,            0.007624,            0.007624
                  50,             0.08606,             0.05813,           0.0062386,             0.71871,             0.99923,             0.91561,             0.64929,            0.080285,             0.06063,           0.0050375,           0.0075745,           0.0075745,           0.0075745
                  51,            0.087338,            0.061178,           0.0062768,             0.95609,             0.95068,             0.98833,             0.66456,            0.080904,            0.059266,           0.0041098,            0.007525,            0.007525,            0.007525
                  52,            0.086999,            0.057183,           0.0063197,             0.80427,             0.93343,             0.90113,             0.61288,            0.080451,            0.058996,           0.0048741,           0.0074755,           0.0074755,           0.0074755
                  53,             0.08722,            0.059289,           0.0062439,             0.86467,             0.92101,              0.9225,             0.65601,            0.079717,            0.059759,           0.0048662,            0.007426,            0.007426,            0.007426
                  54,            0.086648,            0.059957,           0.0059836,             0.92371,             0.93628,               0.984,             0.70113,            0.080389,            0.059087,           0.0051305,           0.0073765,           0.0073765,           0.0073765
                  55,            0.084746,            0.060401,           0.0068589,              0.7495,             0.97873,              0.9287,              0.6225,            0.079971,            0.059762,           0.0054926,            0.007327,            0.007327,            0.007327
                  56,            0.083684,            0.060389,           0.0059317,             0.86632,             0.88992,             0.93146,             0.62398,            0.077937,            0.059178,           0.0045377,           0.0072775,           0.0072775,           0.0072775
                  57,            0.085134,            0.058612,           0.0056281,              0.7286,              0.9814,              0.9222,             0.63005,            0.079619,             0.06022,           0.0054656,            0.007228,            0.007228,            0.007228
                  58,            0.083489,            0.059236,           0.0056422,             0.79772,              0.7797,             0.89837,             0.60229,            0.079413,            0.059736,           0.0047248,           0.0071785,           0.0071785,           0.0071785
                  59,            0.085116,            0.059749,           0.0058922,             0.84568,             0.91227,             0.91658,             0.61672,            0.082363,            0.059205,           0.0046252,            0.007129,            0.007129,            0.007129
                  60,            0.084278,            0.061999,           0.0059345,             0.88663,             0.82899,             0.91076,             0.62932,            0.079601,            0.058838,           0.0049649,           0.0070795,           0.0070795,           0.0070795
                  61,            0.084651,            0.060702,           0.0056054,             0.83458,             0.94444,             0.92543,             0.66424,            0.078425,            0.058563,           0.0041721,             0.00703,             0.00703,             0.00703
                  62,            0.084176,            0.059387,           0.0058847,             0.84165,             0.92625,             0.93006,             0.67909,            0.078453,            0.059288,           0.0038263,           0.0069805,           0.0069805,           0.0069805
                  63,            0.081675,             0.06055,           0.0060545,             0.97631,             0.93278,             0.98372,             0.68418,            0.079303,            0.059139,           0.0040741,            0.006931,            0.006931,            0.006931
                  64,            0.083027,            0.056227,           0.0058085,             0.71049,             0.92497,             0.84105,             0.59325,            0.079369,            0.058925,           0.0054644,           0.0068815,           0.0068815,           0.0068815
                  65,            0.082133,            0.058923,           0.0059798,             0.85202,             0.94444,             0.92608,              0.6575,            0.078359,            0.059744,           0.0045586,            0.006832,            0.006832,            0.006832
                  66,            0.082508,            0.061764,            0.005447,             0.86556,             0.93073,              0.9308,              0.6616,             0.07876,            0.058465,           0.0048181,           0.0067825,           0.0067825,           0.0067825
                  67,            0.080331,            0.061077,           0.0052906,             0.88581,             0.90397,             0.87338,             0.61184,            0.076571,             0.05954,           0.0045122,            0.006733,            0.006733,            0.006733
                  68,            0.082139,            0.058475,            0.005612,             0.80967,             0.94432,             0.92188,             0.68247,            0.077471,            0.058891,           0.0044081,           0.0066835,           0.0066835,           0.0066835
                  69,            0.082031,             0.05937,           0.0054381,              0.8108,             0.89756,             0.92378,             0.68593,            0.076834,            0.058794,           0.0042197,            0.006634,            0.006634,            0.006634
                  70,            0.080753,            0.057689,           0.0056046,             0.82654,             0.94461,              0.9271,             0.66824,             0.07618,            0.058071,           0.0038614,           0.0065845,           0.0065845,           0.0065845
                  71,            0.080693,            0.061411,           0.0052588,             0.84559,             0.93592,             0.92269,             0.65531,            0.077636,            0.059376,           0.0038573,            0.006535,            0.006535,            0.006535
                  72,            0.080845,            0.061233,           0.0057976,              0.6992,             0.96205,             0.85202,             0.61028,            0.078215,            0.059184,           0.0052307,           0.0064855,           0.0064855,           0.0064855
                  73,            0.078934,            0.058896,           0.0053443,             0.88545,             0.89746,             0.91907,             0.62563,            0.077825,            0.059944,           0.0039373,            0.006436,            0.006436,            0.006436
                  74,            0.078463,            0.058831,           0.0053943,             0.84148,             0.96296,             0.92706,             0.66284,            0.076186,            0.058703,           0.0043926,           0.0063865,           0.0063865,           0.0063865
                  75,            0.080562,            0.058563,           0.0053419,             0.87147,             0.96279,              0.9848,             0.66377,             0.07674,            0.058467,           0.0033124,            0.006337,            0.006337,            0.006337
                  76,            0.079867,            0.059792,           0.0052889,             0.87269,             0.94444,             0.92993,             0.64944,            0.076146,            0.058636,           0.0031087,           0.0062875,           0.0062875,           0.0062875
                  77,            0.079686,            0.058936,           0.0056585,             0.80634,             0.96252,             0.92392,             0.63088,            0.076101,            0.058883,           0.0035416,            0.006238,            0.006238,            0.006238
                  78,            0.080855,            0.059433,           0.0048515,             0.85348,             0.94444,             0.92745,             0.66051,            0.076895,            0.058741,           0.0042788,           0.0061885,           0.0061885,           0.0061885
                  79,            0.078379,            0.058895,           0.0053532,             0.85251,             0.87901,             0.87671,             0.59743,            0.076587,            0.058623,           0.0036058,            0.006139,            0.006139,            0.006139
                  80,            0.078252,            0.055583,           0.0056048,             0.85672,             0.85388,             0.90806,             0.62252,            0.075756,            0.058404,           0.0038621,           0.0060895,           0.0060895,           0.0060895
                  81,            0.078275,            0.062548,           0.0052283,             0.98151,             0.77414,             0.95604,             0.64058,            0.074712,            0.057111,           0.0035886,             0.00604,             0.00604,             0.00604
                  82,               0.079,            0.061777,           0.0054155,             0.95398,             0.72953,             0.89476,             0.61655,            0.075771,            0.057487,           0.0034777,           0.0059905,           0.0059905,           0.0059905
                  83,            0.076666,            0.062675,           0.0047299,             0.86794,             0.84184,             0.88112,             0.57417,             0.07501,            0.057884,           0.0035526,            0.005941,            0.005941,            0.005941
