               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.077277,             0.06125,           0.0066295,             0.87714,             0.93173,             0.92258,             0.61614,            0.073506,            0.058341,           0.0043448,           0.0056688,           0.0056688,           0.0056688
                  37,            0.080053,            0.059244,            0.006163,             0.92086,             0.66461,              0.8918,             0.62497,             0.07498,            0.059125,           0.0054647,            0.005545,            0.005545,            0.005545
                  38,            0.079718,            0.059399,           0.0067972,             0.79331,             0.96604,             0.91913,             0.61661,            0.071535,             0.05738,           0.0048193,           0.0054212,           0.0054212,           0.0054212
                  39,            0.078749,            0.057197,           0.0061243,             0.78327,             0.96774,             0.87144,              0.6028,            0.072102,            0.057987,           0.0049815,           0.0052975,           0.0052975,           0.0052975
                  40,            0.080601,            0.061673,           0.0063686,              0.7838,             0.96772,             0.89601,              0.6087,            0.069051,            0.057854,           0.0054284,           0.0051737,           0.0051737,           0.0051737
                  41,             0.07632,            0.060048,           0.0062356,             0.83776,             0.96774,             0.92155,             0.64489,            0.070341,            0.057536,           0.0040878,             0.00505,             0.00505,             0.00505
                  42,            0.078976,            0.061188,           0.0061477,              0.7612,             0.96831,             0.88961,             0.61197,            0.070004,            0.058306,           0.0053833,           0.0049263,           0.0049263,           0.0049263
                  43,            0.076207,            0.057321,           0.0062607,             0.80177,              0.9558,             0.88911,             0.61994,            0.071152,            0.057732,           0.0050691,           0.0048025,           0.0048025,           0.0048025
                  44,            0.077045,            0.057347,           0.0059578,             0.74595,             0.98925,             0.86484,             0.58895,             0.07012,            0.058399,           0.0052881,           0.0046788,           0.0046788,           0.0046788
                  45,            0.075162,            0.059684,           0.0057131,             0.74915,             0.95675,              0.9178,             0.62368,            0.069783,            0.058069,           0.0049415,            0.004555,            0.004555,            0.004555
                  46,            0.076679,            0.060022,           0.0057645,             0.78087,             0.97817,             0.89216,             0.60745,            0.069616,             0.05876,           0.0047412,           0.0044313,           0.0044313,           0.0044313
                  47,            0.074754,            0.059799,           0.0053498,             0.80408,             0.93306,             0.88377,             0.62786,            0.069274,            0.058582,           0.0044214,           0.0043075,           0.0043075,           0.0043075
                  48,            0.076176,            0.059758,            0.005474,             0.84328,             0.93929,             0.91959,             0.64058,            0.069347,            0.058413,            0.004139,           0.0041837,           0.0041837,           0.0041837
                  49,            0.075263,            0.059267,           0.0053791,             0.77386,             0.93652,              0.8913,             0.63872,            0.068423,            0.057822,           0.0053447,             0.00406,             0.00406,             0.00406
                  50,            0.075049,            0.061893,           0.0055418,             0.79977,             0.93095,             0.88157,             0.61227,            0.071257,            0.058304,           0.0048214,           0.0039362,           0.0039362,           0.0039362
                  51,            0.075023,            0.061434,           0.0052926,             0.80896,             0.97574,             0.89065,             0.62551,            0.068229,            0.057707,           0.0041727,           0.0038125,           0.0038125,           0.0038125
                  52,            0.073074,            0.060719,            0.005495,             0.78362,             0.95696,             0.88446,             0.62652,            0.068966,            0.058106,           0.0047549,           0.0036888,           0.0036888,           0.0036888
                  53,             0.07311,            0.059782,           0.0052773,             0.83862,             0.97838,             0.92259,             0.65914,            0.068219,            0.057865,           0.0036524,            0.003565,            0.003565,            0.003565
                  54,            0.072778,            0.058321,           0.0049515,             0.85794,             0.93724,             0.92023,             0.64572,            0.068243,            0.058014,           0.0038919,           0.0034413,           0.0034413,           0.0034413
                  55,            0.072212,            0.057723,           0.0052031,             0.78127,             0.83352,             0.87339,             0.62313,            0.068416,            0.058077,           0.0052131,           0.0033175,           0.0033175,           0.0033175
                  56,             0.07206,            0.058501,           0.0050629,             0.76747,             0.97835,             0.91924,             0.65927,            0.068034,            0.058901,           0.0032255,           0.0031938,           0.0031938,           0.0031938
                  57,            0.071125,             0.05797,           0.0049381,             0.80114,             0.93983,             0.91151,             0.64686,            0.067845,            0.058535,           0.0046972,             0.00307,             0.00307,             0.00307
                  58,            0.071801,            0.059466,           0.0053067,             0.72787,             0.96016,             0.86966,             0.61965,             0.06752,            0.057628,           0.0059323,           0.0029462,           0.0029462,           0.0029462
                  59,            0.070773,            0.057389,           0.0053513,             0.85648,             0.94556,             0.92011,             0.66679,            0.066721,            0.057673,           0.0037272,           0.0028225,           0.0028225,           0.0028225
                  60,            0.071026,            0.060995,           0.0046031,             0.78816,              0.9675,             0.88955,             0.63643,            0.066997,            0.057907,           0.0045862,           0.0026987,           0.0026987,           0.0026987
                  61,            0.070041,            0.058136,           0.0045225,             0.81485,             0.95701,             0.92174,             0.66486,            0.067558,            0.057877,           0.0033845,            0.002575,            0.002575,            0.002575
                  62,            0.069953,            0.058344,           0.0045143,             0.72885,             0.95776,             0.86847,             0.62095,            0.067878,            0.058156,           0.0047873,           0.0024513,           0.0024513,           0.0024513
                  63,            0.070301,             0.05916,           0.0048725,             0.81047,             0.97849,             0.94378,             0.68614,            0.067109,            0.059039,           0.0028592,           0.0023275,           0.0023275,           0.0023275
                  64,            0.070852,            0.058522,           0.0046786,             0.83745,             0.97847,             0.94513,             0.69733,            0.067094,            0.057951,           0.0029389,           0.0022038,           0.0022038,           0.0022038
                  65,             0.06951,            0.060792,           0.0049101,             0.79626,             0.94624,             0.92151,              0.6579,            0.067014,            0.057392,             0.00371,             0.00208,             0.00208,             0.00208
                  66,            0.068769,            0.057806,           0.0044539,             0.74245,                   1,             0.92551,             0.67112,            0.067398,            0.057992,           0.0034531,           0.0019563,           0.0019563,           0.0019563
                  67,            0.069585,            0.059108,           0.0044983,             0.76827,             0.98925,             0.88529,             0.63659,            0.067378,            0.057684,           0.0040578,           0.0018325,           0.0018325,           0.0018325
