               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.071167,            0.056712,           0.0053058,              0.8211,             0.91725,             0.89736,             0.66078,            0.066123,            0.056953,           0.0048991,            0.006535,            0.006535,            0.006535
                  37,            0.071228,            0.057875,           0.0055643,             0.84807,             0.95613,             0.92558,             0.70123,              0.0647,            0.056526,           0.0043956,            0.006436,            0.006436,            0.006436
                  38,            0.070386,            0.055715,           0.0050978,             0.88302,             0.93935,             0.94912,             0.70962,            0.063113,            0.058481,           0.0042087,            0.006337,            0.006337,            0.006337
                  39,            0.067565,            0.055886,           0.0050535,             0.85185,             0.93225,             0.91782,             0.71914,            0.062524,            0.057569,           0.0046105,            0.006238,            0.006238,            0.006238
                  40,            0.069279,            0.056196,           0.0048608,             0.89174,             0.91703,             0.92414,             0.67461,            0.062116,            0.056325,           0.0043375,            0.006139,            0.006139,            0.006139
                  41,            0.068288,            0.056633,           0.0050381,             0.83939,             0.92474,              0.9245,             0.69076,            0.061897,            0.055875,           0.0046545,             0.00604,             0.00604,             0.00604
                  42,            0.069671,            0.057806,           0.0051794,              0.8341,             0.95685,              0.9181,             0.69807,            0.063245,            0.056822,           0.0041377,            0.005941,            0.005941,            0.005941
                  43,            0.070386,            0.058488,           0.0046725,             0.82967,             0.96761,             0.92104,             0.69155,            0.062731,             0.05751,           0.0042548,            0.005842,            0.005842,            0.005842
                  44,            0.067411,            0.057526,           0.0045388,             0.86428,             0.93584,             0.92478,             0.67058,            0.061731,            0.056882,           0.0048322,            0.005743,            0.005743,            0.005743
                  45,            0.067123,            0.056397,           0.0047936,             0.77119,             0.95699,             0.93578,             0.71661,            0.062311,            0.058713,           0.0056028,            0.005644,            0.005644,            0.005644
                  46,            0.065558,            0.055368,           0.0043387,             0.87709,             0.95682,             0.95402,             0.71949,            0.061571,            0.056775,           0.0037689,            0.005545,            0.005545,            0.005545
                  47,            0.067404,            0.058654,            0.004326,             0.81865,             0.98921,             0.94665,             0.70975,            0.063354,            0.056365,            0.004148,            0.005446,            0.005446,            0.005446
                  48,            0.068711,              0.0544,           0.0042475,             0.84645,             0.94624,             0.92061,             0.70106,            0.061957,            0.061221,           0.0043251,            0.005347,            0.005347,            0.005347
                  49,            0.068452,            0.055609,           0.0044179,             0.83613,             0.94064,             0.97582,             0.72477,            0.061739,            0.061485,           0.0043928,            0.005248,            0.005248,            0.005248
                  50,             0.06578,            0.057197,           0.0041585,             0.81938,             0.95691,             0.90455,             0.68128,            0.061416,            0.056315,           0.0047453,            0.005149,            0.005149,            0.005149
                  51,            0.066576,            0.054278,           0.0039672,             0.87083,             0.96157,             0.95596,             0.70104,             0.06265,            0.055717,           0.0041509,             0.00505,             0.00505,             0.00505
                  52,            0.066681,            0.057028,           0.0038703,             0.85412,             0.98909,             0.94488,             0.71231,            0.061901,             0.05585,            0.003854,            0.004951,            0.004951,            0.004951
                  53,            0.064314,            0.053117,           0.0037767,             0.84429,             0.96775,             0.96125,             0.69696,            0.062965,            0.056138,           0.0041862,            0.004852,            0.004852,            0.004852
                  54,            0.064355,            0.056789,           0.0045172,             0.80589,             0.97081,             0.92965,             0.70787,            0.062104,            0.056355,           0.0051918,            0.004753,            0.004753,            0.004753
                  55,            0.062938,            0.052624,           0.0039377,             0.85639,              0.9711,             0.94462,             0.70862,             0.06268,             0.05757,           0.0047823,            0.004654,            0.004654,            0.004654
                  56,            0.065463,            0.053777,           0.0038756,             0.79375,             0.93608,             0.95221,             0.72909,            0.061974,            0.057745,           0.0047447,            0.004555,            0.004555,            0.004555
                  57,            0.062849,            0.054003,           0.0038656,             0.75098,             0.97849,             0.92449,             0.69933,            0.062032,            0.057663,           0.0060511,            0.004456,            0.004456,            0.004456
                  58,            0.062915,            0.055865,            0.003582,             0.86065,             0.92258,             0.94216,             0.70565,            0.063663,             0.05903,           0.0044205,            0.004357,            0.004357,            0.004357
                  59,            0.062972,             0.05389,           0.0038442,             0.76591,             0.92366,             0.85671,             0.64984,            0.062276,            0.056795,           0.0065409,            0.004258,            0.004258,            0.004258
                  60,            0.064065,            0.054772,           0.0039793,             0.85702,             0.93824,             0.92874,             0.68532,            0.062588,            0.056391,           0.0040684,            0.004159,            0.004159,            0.004159
                  61,            0.063186,            0.057347,           0.0034449,             0.93525,             0.92991,             0.98414,             0.74611,            0.061901,            0.056664,            0.002676,             0.00406,             0.00406,             0.00406
                  62,            0.062758,             0.05497,           0.0037739,             0.94092,             0.95233,               0.984,             0.76258,            0.061454,            0.056557,           0.0027537,            0.003961,            0.003961,            0.003961
                  63,            0.061825,            0.056154,           0.0039373,             0.91332,             0.99195,             0.97612,             0.73061,            0.061139,            0.058127,           0.0031473,            0.003862,            0.003862,            0.003862
                  64,            0.061617,            0.056315,           0.0034515,             0.88522,             0.92744,              0.9549,             0.72672,            0.061378,            0.057368,           0.0036921,            0.003763,            0.003763,            0.003763
                  65,            0.062432,            0.057368,           0.0032652,             0.87853,             0.95699,             0.95677,             0.74349,            0.061326,            0.056732,           0.0032611,            0.003664,            0.003664,            0.003664
                  66,             0.06109,            0.055676,           0.0036308,             0.90601,               0.912,             0.95517,             0.72361,            0.060563,            0.056531,           0.0032203,            0.003565,            0.003565,            0.003565
                  67,            0.059313,            0.053447,           0.0032967,             0.86277,             0.96324,             0.93022,             0.69957,            0.061549,            0.057718,           0.0040138,            0.003466,            0.003466,            0.003466
                  68,            0.060849,            0.053204,           0.0033988,             0.89726,             0.91811,             0.95643,             0.71688,            0.060394,            0.057717,           0.0031796,            0.003367,            0.003367,            0.003367
